"Passenger","survived","passenger.class","gender","age","siblings.spouses.aboard","parents.children.aboard","family.size"
762,0,3,"male",41,0,0,1
763,1,3,"male",20,0,0,1
764,1,1,"female",36,1,2,4
765,0,3,"male",16,0,0,1
766,1,1,"female",51,1,0,2
767,0,1,"male",29.6991176470588,0,0,1
768,0,3,"female",30.5,0,0,1
769,0,3,"male",29.6991176470588,1,0,2
770,0,3,"male",32,0,0,1
771,0,3,"male",24,0,0,1
772,0,3,"male",48,0,0,1
773,0,2,"female",57,0,0,1
774,0,3,"male",29.6991176470588,0,0,1
775,1,2,"female",54,1,3,5
776,0,3,"male",18,0,0,1
777,0,3,"male",29.6991176470588,0,0,1
778,1,3,"female",5,0,0,1
779,0,3,"male",29.6991176470588,0,0,1
780,1,1,"female",43,0,1,2
781,1,3,"female",13,0,0,1
782,1,1,"female",17,1,0,2
783,0,1,"male",29,0,0,1
784,0,3,"male",29.6991176470588,1,2,4
785,0,3,"male",25,0,0,1
786,0,3,"male",25,0,0,1
787,1,3,"female",18,0,0,1
788,0,3,"male",8,4,1,6
789,1,3,"male",1,1,2,4
790,0,1,"male",46,0,0,1
791,0,3,"male",29.6991176470588,0,0,1
792,0,2,"male",16,0,0,1
793,0,3,"female",29.6991176470588,8,2,11
794,0,1,"male",29.6991176470588,0,0,1
795,0,3,"male",25,0,0,1
796,0,2,"male",39,0,0,1
797,1,1,"female",49,0,0,1
798,1,3,"female",31,0,0,1
799,0,3,"male",30,0,0,1
800,0,3,"female",30,1,1,3
801,0,2,"male",34,0,0,1
802,1,2,"female",31,1,1,3
803,1,1,"male",11,1,2,4
804,1,3,"male",0.42,0,1,2
805,1,3,"male",27,0,0,1
806,0,3,"male",31,0,0,1
807,0,1,"male",39,0,0,1
808,0,3,"female",18,0,0,1
809,0,2,"male",39,0,0,1
810,1,1,"female",33,1,0,2
811,0,3,"male",26,0,0,1
812,0,3,"male",39,0,0,1
813,0,2,"male",35,0,0,1
814,0,3,"female",6,4,2,7
815,0,3,"male",30.5,0,0,1
816,0,1,"male",29.6991176470588,0,0,1
817,0,3,"female",23,0,0,1
818,0,2,"male",31,1,1,3
819,0,3,"male",43,0,0,1
820,0,3,"male",10,3,2,6
821,1,1,"female",52,1,1,3
822,1,3,"male",27,0,0,1
823,0,1,"male",38,0,0,1
824,1,3,"female",27,0,1,2
825,0,3,"male",2,4,1,6
826,0,3,"male",29.6991176470588,0,0,1
827,0,3,"male",29.6991176470588,0,0,1
828,1,2,"male",1,0,2,3
829,1,3,"male",29.6991176470588,0,0,1
830,1,1,"female",62,0,0,1
831,1,3,"female",15,1,0,2
832,1,2,"male",0.83,1,1,3
833,0,3,"male",29.6991176470588,0,0,1
834,0,3,"male",23,0,0,1
835,0,3,"male",18,0,0,1
836,1,1,"female",39,1,1,3
837,0,3,"male",21,0,0,1
838,0,3,"male",29.6991176470588,0,0,1
839,1,3,"male",32,0,0,1
840,1,1,"male",29.6991176470588,0,0,1
841,0,3,"male",20,0,0,1
842,0,2,"male",16,0,0,1
843,1,1,"female",30,0,0,1
844,0,3,"male",34.5,0,0,1
845,0,3,"male",17,0,0,1
846,0,3,"male",42,0,0,1
847,0,3,"male",29.6991176470588,8,2,11
848,0,3,"male",35,0,0,1
849,0,2,"male",28,0,1,2
850,1,1,"female",29.6991176470588,1,0,2
851,0,3,"male",4,4,2,7
852,0,3,"male",74,0,0,1
853,0,3,"female",9,1,1,3
854,1,1,"female",16,0,1,2
855,0,2,"female",44,1,0,2
856,1,3,"female",18,0,1,2
857,1,1,"female",45,1,1,3
858,1,1,"male",51,0,0,1
859,1,3,"female",24,0,3,4
860,0,3,"male",29.6991176470588,0,0,1
861,0,3,"male",41,2,0,3
862,0,2,"male",21,1,0,2
863,1,1,"female",48,0,0,1
864,0,3,"female",29.6991176470588,8,2,11
865,0,2,"male",24,0,0,1
866,1,2,"female",42,0,0,1
867,1,2,"female",27,1,0,2
868,0,1,"male",31,0,0,1
869,0,3,"male",29.6991176470588,0,0,1
870,1,3,"male",4,1,1,3
871,0,3,"male",26,0,0,1
872,1,1,"female",47,1,1,3
873,0,1,"male",33,0,0,1
874,0,3,"male",47,0,0,1
875,1,2,"female",28,1,0,2
876,1,3,"female",15,0,0,1
877,0,3,"male",20,0,0,1
878,0,3,"male",19,0,0,1
879,0,3,"male",29.6991176470588,0,0,1
880,1,1,"female",56,0,1,2
881,1,2,"female",25,0,1,2
882,0,3,"male",33,0,0,1
883,0,3,"female",22,0,0,1
884,0,2,"male",28,0,0,1
885,0,3,"male",25,0,0,1
886,0,3,"female",39,0,5,6
887,0,2,"male",27,0,0,1
888,1,1,"female",19,0,0,1
889,0,3,"female",29.6991176470588,1,2,4
890,1,1,"male",26,0,0,1
891,0,3,"male",32,0,0,1
